fonte,tipo_fonte,issn,isbn,ano,indexado,metodo
2024 IEEE 6th International Conference on Civil Aviation Safety and Information Technology (ICCASIT),conferencia,,979-8-3503-8941-8,2024,True,ISBN
2025 International Conference on Sustainable Communication Networks and Application (ICSCN),conferencia,,979-8-3315-9420-6,2025,True,ISBN
2024 9th International Symposium on Computer and Information Processing Technology (ISCIPT),conferencia,,979-8-3503-8840-4,2024,True,ISBN
2025 10th International Conference on Cyber Security and Information Engineering (ICCSIE),conferencia,,979-8-3315-8572-3,2025,True,ISBN
2024 2nd International Conference on Emerging Trends in Engineering and Medical Sciences (ICETEMS),conferencia,,979-8-3315-2935-2,2024,True,ISBN
2024 IEEE 7th International Conference on Information Systems and Computer Aided Education (ICISCAE),conferencia,2770-663X,979-8-3503-5076-0,2024,True,ISBN
2025 4th International Conference on Applied Artificial Intelligence and Computing (ICAAIC),conferencia,,979-8-3315-6587-9,2025,True,ISBN
2024 3rd International Conference on Electronics and Information Technology (EIT),conferencia,,979-8-3503-6915-1,2024,True,ISBN
2013 IEEE International Conference on Technologies for Homeland Security (HST),conferencia,,978-1-4799-1535-4,2013,True,TITULO_FUZZY_ANO(97)
2025 5th Asia-Pacific Conference on Communications Technology and Computer Science (ACCTCS),conferencia,,979-8-3315-2463-0,2025,True,ISBN
"2025 First International Conference on Advances in Computer Science, Electrical, Electronics, and Communication Technologies (CE2CT)",conferencia,,979-8-3315-1857-8,2025,True,ISBN
"2025 IEEE International Students' Conference on Electrical, Electronics and Computer Science (SCEECS)",conferencia,2688-0288,979-8-3315-2983-3,2025,True,ISBN
2025 24th RoEduNet Conference: Networking in Education and Research (RoEduNet),conferencia,2247-5443,979-8-3315-5713-3,2025,True,ISBN
2021 Twelfth International Conference on Ubiquitous and Future Networks (ICUFN),conferencia,2165-8536,978-1-7281-6476-2,2021,True,ISBN
2024 International Conference on Sustainable Communication Networks and Application (ICSCNA),conferencia,,979-8-3315-3001-3,2024,True,ISBN
2018 IEEE 42nd Annual Computer Software and Applications Conference (COMPSAC),conferencia,0730-3157,978-1-5386-2667-2,2018,True,ISSN_SERIE
2018 IEEE Real-Time and Embedded Technology and Applications Symposium (RTAS),conferencia,,978-1-5386-5295-4,2018,True,ISBN
2025 IEEE 7th International Conference on Civil Aviation Safety and Information Technology (ICCASIT),conferencia,,979-8-3315-0374-1,2025,True,ISBN
2025 International Conference on Recent Innovation in Science Engineering and Technology (ICRISET),conferencia,,979-8-3315-5833-8,2025,True,ISBN
2025 International Conference on Intelligent Computing and Knowledge Extraction (ICICKE),conferencia,,979-8-3315-3681-7,2025,True,ISBN
2024 IEEE 2nd International Conference on Innovations in High Speed Communication and Signal Processing (IHCSP),conferencia,,979-8-3503-6894-9,2024,True,ISBN
2025 5th International Conference on Intelligent Communications and Computing (ICICC),conferencia,,979-8-3315-4922-0,2025,True,ISBN
2025 IEEE International Conference on Artificial Intelligence in Engineering and Technology (IICAIET),conferencia,,979-8-3315-5451-4,2025,True,ISBN
"2024 International Conference on IoT, Communication and Automation Technology (ICICAT)",conferencia,,979-8-3503-6810-9,2024,True,ISBN
2025 IEEE International Conference on Industrial Technology & Computer Engineering (ICITCE),conferencia,,979-8-3315-1540-9,2025,True,ISBN
"2024 International Conference on Advances in Computing, Communication and Materials (ICACCM)",conferencia,2642-7354,979-8-3503-6797-3,2024,True,ISBN
2024 IEEE International Conference on Big Data (BigData),conferencia,2573-2978,979-8-3503-6248-0,2024,True,ISBN
2011 Annual International Conference of the IEEE Engineering in Medicine and Biology Society,conferencia,1558-4615,978-1-4577-1589-1,2011,False,
2025 12th International Conference on Emerging Trends in Engineering & Technology - Signal and Information Processing (ICETET - SIP),conferencia,2157-0485,979-8-3315-0099-3,2025,True,ISBN
2024 6th International Academic Exchange Conference on Science and Technology Innovation (IAECST),conferencia,,979-8-3315-0713-8,2024,True,ISBN
2025 10th Asia Conference on Power and Electrical Engineering (ACPEE),conferencia,2996-2951,979-8-3315-0407-6,2025,True,ISBN
2012 4th International Conference on Intelligent Human Computer Interaction (IHCI),conferencia,,978-1-4673-4369-5,2012,False,
2019 8th International Conference on Agro-Geoinformatics (Agro-Geoinformatics),conferencia,,978-1-7281-2116-1,2019,True,ISBN
2025 IEEE Pune Section International Conference (PuneCon),conferencia,2831-5022,979-8-3315-8834-2,2025,True,ISBN
2012 Proceedings of the 35th International Convention MIPRO,conferencia,,978-953-233-068-7,2012,False,
2025 IEEE 29th International Conference on Intelligent Engineering Systems (INES),conferencia,1543-9259,979-8-3315-9771-9,2025,False,
2023 Computing in Cardiology (CinC),conferencia,2325-887X,979-8-3503-8252-5,2023,True,ISBN
2023 International Conference on Computer Science and Emerging Technologies (CSET),conferencia,,979-8-3503-4173-7,2023,True,ISBN
"2025 4th International Conference on Automation, Computing and Renewable Systems (ICACRS)",conferencia,,979-8-3315-4886-5,2025,True,ISBN
"2025 6th International Conference on Artificial Intelligence, Robotics and Control (AIRC)",conferencia,,979-8-3315-4348-8,2025,True,ISBN
2016 IEEE International Conference on Multisensor Fusion and Integration for Intelligent Systems (MFI),conferencia,,978-1-4673-9708-7,2016,True,ISBN
2023 4th International Conference on Smart Electronics and Communication (ICOSEC),conferencia,,979-8-3503-0088-8,2023,True,ISBN
2024 Asian Conference on Intelligent Technologies (ACOIT),conferencia,,979-8-3503-7495-7,2024,True,TITULO_FUZZY_ANO(96)
2025 IEEE 4th International Conference on Intelligent Reality (ICIR),conferencia,,979-8-3315-6976-1,2025,True,ISBN
2025 IEEE 13th International Conference on Intelligent Data Acquisition and Advanced Computing Systems: Technology and Applications (IDAACS),conferencia,2770-4254,979-8-3315-8045-2,2025,True,ISBN
2025 International Conference on Advances in Next-Gen Computer Science (ICANCS),conferencia,,979-8-3315-9647-7,2025,True,ISBN
"2025 International Conference on Advancements in Smart, Secure and Intelligent Computing (ASSIC)",conferencia,,979-8-3315-2302-2,2025,True,ISBN
2023 International Conference on Information and Communication Technologies for Disaster Management (ICT-DM),conferencia,2643-6868,979-8-3503-1951-4,2023,True,ISBN
2020 IEEE 14th International Conference on Application of Information and Communication Technologies (AICT),conferencia,2472-8586,978-1-7281-7386-3,2020,False,
2025 International Conference on Next Generation Computing Systems (ICNGCS),conferencia,,979-8-3315-9116-8,2025,True,ISBN
2024 19th International Workshop on Semantic and Social Media Adaptation & Personalization (SMAP),conferencia,,979-8-3315-0450-2,2024,True,ISBN
