"Occurrences","Words","Cluster","Color","Cluster_Label","Cluster_Frequency","btw_centrality","clos_centrality","pagerank_centrality"
18,"steganography",1,"#E41A1C80","decision making",6699,362.512008793805,0.000524383848977452,0.000623523455815966
17,"5g mobile communication systems",1,"#E41A1C80","decision making",6699,227.21600576912,0.000520562207183758,0.000547779393793436
17,"decision makers",1,"#E41A1C80","decision making",6699,363.951115168941,0.000525486074619023,0.000686269311676987
17,"real time analysis",1,"#E41A1C80","decision making",6699,311.248294412539,0.000525210084033613,0.000612767713941913
17,"real-time analytics",1,"#E41A1C80","decision making",6699,304.267680206844,0.000526315789473684,0.000700163927752801
17,"real-time data integration",1,"#E41A1C80","decision making",6699,185.781114842474,0.000520833333333333,0.000607615570005119
17,"sustainability",1,"#E41A1C80","decision making",6699,361.472518203049,0.000526038926880589,0.00062380740004292
16,"decision making process",1,"#E41A1C80","decision making",6699,77.3658271272503,0.000513347022587269,0.000560901146089749
15,"economics",1,"#E41A1C80","decision making",6699,532.503112718953,0.000530785562632696,0.000682915112541197
16,"emerging technologies",1,"#E41A1C80","decision making",6699,295.531940334452,0.00051975051975052,0.000662375650099975
15,"customer satisfaction",1,"#E41A1C80","decision making",6699,135.824019851355,0.000519210799584631,0.000564112226795576
15,"cybersecurity",1,"#E41A1C80","decision making",6699,328.116339573538,0.000527148128624143,0.000718027347510567
15,"data integrity",1,"#E41A1C80","decision making",6699,310.41966941313,0.0005249343832021,0.000653837693279184
15,"personnel training",1,"#E41A1C80","decision making",6699,218.560857947346,0.000522193211488251,0.000559770290239273
15,"reservoir management",1,"#E41A1C80","decision making",6699,241.94676251535,0.000523286237571952,0.000737485332299497
829,"big data",2,"#377EB880","big data",7357,1533.00781370679,0.000533617929562433,0.0205262016871342
569,"information management",2,"#377EB880","big data",7357,2537.1681926658,0.000546149645002731,0.0168415613515197
342,"digital storage",2,"#377EB880","big data",7357,3057.95597431614,0.000562113546936481,0.00975954505239599
337,"data architectures",2,"#377EB880","big data",7357,3396.13443989844,0.000564652738565782,0.00745279765028538
254,"data analytics",2,"#377EB880","big data",7357,5341.7561194017,0.000579710144927536,0.00743226903968907
287,"data handling",2,"#377EB880","big data",7357,3952.22388477349,0.000568181818181818,0.00747989168542419
264,"lakes",2,"#377EB880","big data",7357,1246.47612923476,0.000542005420054201,0.00656669687045715
202,"metadata",2,"#377EB880","big data",7357,4740.29164593888,0.000578368999421631,0.00599606990212959
182,"data mining",2,"#377EB880","big data",7357,5621.5709479303,0.000583090379008746,0.00537724251003977
151,"data lake",2,"#377EB880","big data",7357,1299.47070058987,0.000542299349240781,0.00382991008846515
138,"data warehouses",2,"#377EB880","big data",7357,1366.86162676536,0.000544959128065395,0.00362481150902307
129,"data visualization",2,"#377EB880","big data",7357,4282.58717144771,0.000578034682080925,0.00442461066169838
122,"computer architecture",2,"#377EB880","big data",7357,2701.72254883676,0.000565930956423316,0.00367636853746076
