"Author";"NP"
"ABDELZAHER T";2
"ABECKER A";2
"ABUDAYYEH O";2
"ABUGHAZALA M";2
"ACAR DB";2
"AFRAZ N";2
"AFTAB U";2
"AGARWAL R";2
"AGARWAL S";2
"AGARWAL U";2
"AHLERS D";2
"AHMED I";2
"AHMED M";2
"AKBAROVA S";2
"AKERMI M";2
"AKINADE OO";2
"AL-FALOUJI G";2
"ALAM N";2
"ALAM S";2
"ALFRED DANIEL A";2
"ALHAJJ R";2
"ALHINDI A";2
"ALI M";2
"ALI R";2
"ALI S";2
"ALRIFAI A";2
"ALSAEEDI A";2
"ALSERAFI A";2
"ALTURKI R";2
"ÁLVARES AJ";2
"ÁLVAREZ-ESTEBAN PC";2
"ALZOUBI HM";2
"ALZYADAT W";2
"ANDRADE C";2
"ANDREOU A";2
"ANDRIENKO N";2
"ANUMBA CJ";2
"AREFIN MS";2
"ARTIKIS A";2
"ARULKUMAR V";2
"ASAITHAMBI SPR";2
"ATEK S";2
"AZIZOVA M";2
"BALAJI D";2
"BALE DS";2
"BAO Q";2
"BARRET N";2
"BASHIR AK";2
"BEGOLI E";2
"BEHERA RK";2
"BEHM A";2
"BELAUD J-P";2
"BELLANDI V";2
"BELLO O";2
"BELOFF N";2
"BELOV V";2
"BEN AISSA MM";2
"BEN AOUICHA M";2
"BEN STA HB";2
"BENEVENTANO D";2
"BENYOUCEF L";2
"BENZARTI F";2
"BERETA K";2
"BERGAMASCHI S";2
"BERNARDINO J";2
"BERSANI MM";2
"BHATIA M";2
"BHOWMIK A";2
"BI L";2
"BI W";2
"BISWAS A";2
"BLANCHET C";2
"BOBKOVA A";2
"BOCCALI T";2
"BOGDANOV A";2
"BOLAKIS C";2
"BOLDRINI L";2
"BOOB NS";2
"BOUHAFER F";2
"BOULILA W";2
"BOUSSAÏD O";2
"BOUTERAA Y";2
"BROUS P";2
"BRUJIC-OKRETIC V";2
"BRUNS J";2
"BUCKMASTER D";2
"BURA C";2
"BÜSCHER C";2
"CABRI G";2
"CADEI L";2
"CAI D";2
"CAI S";2
"CAI Y";2
"CAI Z";2
"CALYAM P";2
"CANNON M";2
"CAO L";2
"CAO X";2
"CAO Z";2
"CARDINALE V";2
"CARMO LFRC";2
"CARRIÓN-JUMBO J";2
"CASAL-GUISANDE M";2
"CASTELLTORT A";2
"CHA B";2
"CHAARI FOURATI LC";2
"CHABOD A";2
"CHANG C";2
"CHANG W";2
"CHANG Z";2
"CHANNI HK";2
"CHEMODANOV D";2
"CHEN R";2
"CHEN T";2
"CHENG H";2
"CHENG M";2
"CHENG Y";2
"CHENG Z";2
"CHI W";2
"CHIESA S";2
"CHIHI I";2
"CHINTHAKINDI A";2
"CHRISTODOULOU P";2
"CHUMAKOV I";2
"CLARAMUNT C";2
"COLLEONI COUTO JC";2
"COSTA E";2
"CUI Q";2
"CULLOT N";2
"CURRAN R";2
"D'AGOSTA G";2
"DAI H-N";2
"DAI J";2
"DAI S";2
"DAI Z";2
"DAMIANI A";2
"DAMIANO E";2
"DAVID RM";2
"DE BENEDICTIS R";2
"DE FARIAS CM";2
"DE LAAT C";2
"DE MARIA R";2
"DE SABBATA P";2
"DEEPAK RAO B";2
"DELIS A";2
"DELROBAEI M";2
"DEMCHENKO Y";2
"DEMIR I";2
"DERAMAN R";2
"DESCAMPS P";2
"DESIKAN J";2
"DHANARAJ RK";2
"DÍAZ F";2
"DILLI BABU D";2
"DILLON T";2
"DINESH M";2
"DINESH RAO B";2
"DING H";2
"DINH N-T";2
"DOLHOPOLOV A";2
"DONG H";2
"DONG J";2
"DONG L";2
"DOUGLAS C";2
"DU J";2
"DU L";2
"DU W";2
"DUAN J";2
"DUAN X";2
"DUAN Z";2
"DURANT TJS";2
"DWIVEDI V";2
"EBEL S";2
"EL AMRANI C";2
"EL HADDADI AE";2
"EL HADDADI O";2
"EL KIHEL Y";2
"ELHAJ BEN ALI SEHB";2
"ELIZONDO-NORIEGA A";2
"ELOUATAOUI W";2
"ERHAN EREN P";2
"ESPOSITO A";2
"ESWARAN V";2
"EUDELINE P";2
"EUGENI M";2
"FAGGIANI A";2
"FAILLA R";2
"FAN C";2
"FAN L";2
"FAN S";2
"FAN X";2
"FANG S";2
"FARAH IR";2
"FENG G";2
"FENG L";2
"FENG M";2
"FENG W";2
"FENG Z";2
"FEREY E";2
"FERNANDES AX";2
"FERNANDEZ-BASSO C";2
"FERRARA P";2
"FRANCZYK B";2
"FU H";2
"FU Z";2
"GAGLIARDELLI L";2
"GAHI Y";2
"GALEAS P";2
"GALIZZI T";2
"GALLINUCCI E";2
"GALVÃO J";2
"GANCHEVA V";2
"GANESAN A";2
"GAO L";2
"GAO R";2
"GAO W";2
"GARCÍA-MIRANDA I";2
"GARGIULO F";2
"GAUDENZI P";2
"GE Y";2
"GENNADY ANDRIENKO G";2
"GENOUD P";2
"GERVET C";2
"GESSA N";2
"GHOZZI JEDIDI FG";2
"GILLET A";2
"GILMAN E";2
"GIORDANO D";2
"GLENIS A";2
"GOI C-L";2
"GÖKALP MO";2
"GOMES J";2
"GONG X";2
"GONZÁLEZ S";2
"GOPINATH V";2
"GOPINATHAN D";2
"GOYAL S";2
"GRASSO R";2
"GRAUX D";2
"GU B";2
"GU C";2
"GU J";2
"GU L";2
"GU S";2
"GUEMES-CASTORENA D";2
"GUERRIERO M";2
"GUO M";2
"GUO R";2
"GUO W";2
"GUOQING L";2
"GUYOT A";2
"HADJ TAIEB MA";2
